"Model","Variable","Dependent","ImportanceScaled","ImportanceRaw"
"Neural Networks","nothin2","Truant1",23.5509100875536,0.218917537099234
"Neural Networks","withfrev2","Truant1",23.1221409037583,0.215457393074776
"Neural Networks","ssomatic","Truant1",14.5405826223081,0.146204683854245
"Neural Networks","safraid","Truant1",28.8580835744955,0.261746138877604
"Neural Networks","stantrum","Truant1",62.0428382343845,0.529545306539679
"Neural Networks","sobeys","Truant1",23.9165408189958,0.221868157242593
"Neural Networks","sfights","Truant1",58.4973121639768,0.500933103728155
"Neural Networks","slies","Truant1",31.780997629583,0.285333896542913
"Neural Networks","ssteals","Truant1",38.1978427241358,0.337117487922445
"Neural Networks","sreflect","Truant1",39.7771578294216,0.349862475040969
"Neural Networks","sattends","Truant1",18.0353532998658,0.174407293402267
"Neural Networks","sloner","Truant1",12.4641693571239,0.129448141585425
"Neural Networks","sfriend","Truant1",15.4345216422292,0.153418723190352
"Neural Networks","spopular","Truant1",31.1377281159111,0.280142746507021
"Neural Networks","sbullied","Truant1",24.5047317333824,0.226614825973868
"Neural Networks","soldbest","Truant1",46.6776795408216,0.405549310447369
"Neural Networks","sshares","Truant1",78.4470694127368,0.661926561146601
"Neural Networks","skind","Truant1",51.1492621099399,0.441634738904357
"Neural Networks","shelpout","Truant1",42.3035264739922,0.37025013278193
"Neural Networks","emotion1","Truant1",25.530822737195,0.234895324642092
"Neural Networks","hyper1","Truant1",37.0856905988574,0.328142480678436
